1777231343.054572,10.10.1.100:52656,,,10,37,201.584
1777231343.189370,10.10.1.100:52656,,,10,37,201.584
1777231343.262097,10.10.1.100:52656,,,10,41,201.561
1777231343.315966,10.10.1.100:52656,,,10,41,201.561
1777231343.369138,10.10.1.100:52656,,,10,41,201.561
1777231343.421813,10.10.1.100:52656,,,10,162,206.994
1777231343.474621,10.10.1.100:52656,,,10,162,206.994
1777231343.527641,10.10.1.100:52656,,,10,162,206.994
1777231343.580715,10.10.1.100:52656,,,10,162,206.994
1777231343.920285,10.10.1.100:52658,,,10,37,201.65
1777231344.009325,10.10.1.100:52658,,,10,37,201.65
1777231344.235608,10.10.1.100:52658,,,10,14517,201.608
1777231344.279023,10.10.1.100:52658,,,10,14517,201.608
1777231344.324481,10.10.1.100:52658,,,10,14517,201.608
1777231344.367417,10.10.1.100:52658,,,10,14517,201.608
1777231344.413408,10.10.1.100:52658,,,10,14517,201.608
1777231344.457157,10.10.1.100:52658,,,20,43477,201.277
1777231344.502907,10.10.1.100:52658,,,20,43477,201.277
1777231344.546246,10.10.1.100:52658,,,20,43477,201.277
1777231344.590650,10.10.1.100:52658,,,20,43477,201.277
1777231344.638063,10.10.1.100:52658,,,40,101397,201.328
1777231344.682889,10.10.1.100:52658,,,40,101397,201.328
1777231344.729116,10.10.1.100:52658,,,40,101397,201.328
1777231344.782984,10.10.1.100:52658,,,40,101397,201.328
1777231344.919421,10.10.1.100:52658,,,80,217237,201.166
1777231345.002070,10.10.1.100:52658,,,80,217237,201.166
1777231345.052981,10.10.1.100:52658,,,160,448917,201.184
1777231345.099599,10.10.1.100:52658,,,160,448917,201.184
1777231345.146519,10.10.1.100:52658,,,160,448917,201.184
1777231345.191066,10.10.1.100:52658,,,160,448917,201.184
1777231345.252829,10.10.1.100:52658,,,270,606749,201.312
1777231345.306516,10.10.1.100:52658,,,320,912277,206.54
1777231345.360698,10.10.1.100:52658,,,320,912277,206.54
1777231345.422643,10.10.1.100:52658,,,320,912277,206.54
1777231345.483760,10.10.1.100:52658,,,637,1442245,201.329
1777231345.537536,10.10.1.100:52658,,,640,1838997,201.189
1777231345.590827,10.10.1.100:52658,,,640,1838997,201.189
1777231345.651485,10.10.1.100:52658,,,727,1972213,201.439
