1777231203.567954,10.10.1.100:33244,,,10,37,201.686
1777231203.620827,10.10.1.100:33244,,,10,37,201.686
1777231203.673874,10.10.1.100:33244,,,10,37,201.686
1777231203.727306,10.10.1.100:33244,,,10,37,201.686
1777231203.781299,10.10.1.100:33244,,,10,41,201.66
1777231203.835901,10.10.1.100:33244,,,10,41,201.66
1777231203.888430,10.10.1.100:33244,,,10,41,201.66
1777231203.929800,10.10.1.100:33244,,,10,41,201.66
1777231203.973405,10.10.1.100:33244,,,10,41,201.66
1777231204.015014,10.10.1.100:33244,,,10,161,207.104
1777231204.056391,10.10.1.100:33244,,,10,161,207.104
1777231204.099564,10.10.1.100:33244,,,10,161,207.104
1777231204.146248,10.10.1.100:33244,,,10,161,207.104
1777231204.188482,10.10.1.100:33244,,,10,161,207.104
1777231204.445597,10.10.1.100:33260,,,10,37,201.541
1777231204.533225,10.10.1.100:33260,,,10,37,201.541
1777231204.824882,10.10.1.100:33260,,,10,14517,201.519
1777231204.876670,10.10.1.100:33260,,,10,14517,201.519
1777231205.012199,10.10.1.100:33260,,,10,14517,201.519
1777231205.118125,10.10.1.100:33260,,,20,43477,203.015
1777231205.174975,10.10.1.100:33260,,,20,43477,203.015
1777231205.229162,10.10.1.100:33260,,,40,101397,201.335
1777231205.282934,10.10.1.100:33260,,,40,101397,201.335
1777231205.336165,10.10.1.100:33260,,,40,101397,201.335
1777231205.392100,10.10.1.100:33260,,,40,101397,201.335
1777231205.446520,10.10.1.100:33260,,,80,217237,201.029
1777231205.500309,10.10.1.100:33260,,,80,217237,201.029
1777231205.553388,10.10.1.100:33260,,,80,217237,201.029
1777231205.611673,10.10.1.100:33260,,,80,217237,201.029
1777231205.665535,10.10.1.100:33260,,,160,448917,201.304
1777231205.720195,10.10.1.100:33260,,,160,448917,201.304
1777231205.775357,10.10.1.100:33260,,,160,448917,201.304
1777231205.834595,10.10.1.100:33260,,,320,728381,201.196
1777231205.882567,10.10.1.100:33260,,,320,912277,201.196
1777231205.931608,10.10.1.100:33260,,,320,912277,201.196
1777231205.977969,10.10.1.100:33260,,,320,912277,201.196
1777231206.036273,10.10.1.100:33260,,,474,1148301,202.186
1777231206.084886,10.10.1.100:33260,,,639,1831757,202.488
1777231206.133829,10.10.1.100:33260,,,640,1838997,207.861
1777231206.183383,10.10.1.100:33260,,,640,1838997,207.861
1777231206.242649,10.10.1.100:33260,,,823,2109773,201.517
1777231206.297125,10.10.1.100:33260,,,1275,2830877,202.01
