1777224952.210724,10.10.1.100:35140,,,10,37,21.84
1777224952.252264,10.10.1.100:35140,,,10,41,21.805
1777224952.302831,10.10.1.100:35140,,,10,161,26.966
1777224952.413584,10.10.1.100:35142,,,20,43477,21.256
1777224952.519790,10.10.1.100:35142,,,160,388101,21.655
1777224952.686842,10.10.1.100:35142,0,53,208,208,22.684
1777224952.758309,10.10.1.100:35142,0,53,208,208,22.983
1777224952.924075,10.10.1.100:35142,0,53,208,208,22.757
1777224952.994093,10.10.1.100:35142,0,53,208,208,22.759
1777224953.061457,10.10.1.100:35142,0,53,208,208,22.475
1777224953.203043,10.10.1.100:35142,0,53,208,208,22.422
1777224953.422132,10.10.1.100:35142,0,53,208,208,22.556
1777224953.607643,10.10.1.100:35142,0,53,208,208,22.423
1777224953.799068,10.10.1.100:35142,0,53,208,208,22.411
1777224953.873586,10.10.1.100:35142,0,53,208,208,22.459
1777224954.096331,10.10.1.100:35142,0,53,208,208,22.722
1777224954.296859,10.10.1.100:35142,0,53,208,208,22.519
1777224954.515534,10.10.1.100:35142,0,53,208,208,22.548
1777224954.602961,10.10.1.100:35142,0,53,208,208,22.731
1777224954.673563,10.10.1.100:35142,0,56,104,104,21.031
1777224954.827201,10.10.1.100:35142,0,56,108,104,20.947
1777224955.019585,10.10.1.100:35142,0,56,116,104,21.075
1777224955.095410,10.10.1.100:35142,0,56,124,104,20.999
1777224955.163575,10.10.1.100:35142,0,56,127,104,21.031
1777224955.258727,10.10.1.100:35142,0,56,130,104,21.107
1777224955.422750,10.10.1.100:35142,0,56,136,104,21.122
1777224955.493069,10.10.1.100:35142,0,56,142,104,21.138
1777224955.561885,10.10.1.100:35142,0,56,146,104,21.213
1777224955.639749,10.10.1.100:35142,0,56,149,104,21.444
1777224955.707257,10.10.1.100:35142,0,56,152,104,20.964
1777224955.773485,10.10.1.100:35142,0,56,155,104,21.139
1777224955.841627,10.10.1.100:35142,0,56,159,104,21.251
1777224955.909386,10.10.1.100:35142,0,56,162,104,21.123
1777224955.978172,10.10.1.100:35142,0,56,165,104,21.469
1777224956.046346,10.10.1.100:35142,0,56,168,104,21.19
1777224956.116213,10.10.1.100:35142,0,56,171,104,21.262
1777224956.186290,10.10.1.100:35142,0,56,174,104,21.291
1777224956.250720,10.10.1.100:35142,0,56,177,104,21.518
1777224956.309829,10.10.1.100:35142,0,56,180,104,21.733
1777224956.407580,10.10.1.100:35142,0,56,183,104,21.698
1777224956.622542,10.10.1.100:35142,0,56,189,104,22.26
1777224956.838780,10.10.1.100:35142,0,56,198,104,22.83
1777224957.084783,10.10.1.100:35142,0,56,203,104,22.617
1777224957.326161,10.10.1.100:35142,0,56,205,104,22.522
1777224957.456857,10.10.1.100:35142,0,56,207,104,22.932
1777224957.586627,10.10.1.100:35142,0,56,207,104,22.354
1777224957.824190,10.10.1.100:35142,0,56,207,104,23.675
1777224957.955461,10.10.1.100:35142,0,56,208,104,22.481
1777224958.032128,10.10.1.100:35142,0,56,208,104,22.515
1777224958.105329,10.10.1.100:35142,0,56,208,104,22.73
1777224958.178492,10.10.1.100:35142,0,56,208,104,22.432
1777224958.414404,10.10.1.100:35142,0,56,208,104,22.637
1777224958.568273,10.10.1.100:35142,0,56,208,104,22.652
1777224958.641222,10.10.1.100:35142,0,56,208,104,22.757
1777224958.825588,10.10.1.100:35142,0,56,208,104,22.745
1777224958.946345,10.10.1.100:35142,0,62,111,104,21.116
1777224959.012269,10.10.1.100:35142,0,62,115,104,20.968
1777224959.076461,10.10.1.100:35142,0,62,118,104,21.016
1777224959.142157,10.10.1.100:35142,0,62,121,104,20.996
1777224959.206701,10.10.1.100:35142,0,62,124,104,20.905
1777224959.271737,10.10.1.100:35142,0,62,127,104,20.947
1777224959.337559,10.10.1.100:35142,0,62,130,104,21.029
1777224959.416472,10.10.1.100:35142,0,62,133,104,20.974
1777224959.623069,10.10.1.100:35142,0,62,138,104,21.022
1777224959.802596,10.10.1.100:35142,0,62,148,104,21.613
1777224959.873192,10.10.1.100:35142,0,62,155,104,21.436
1777224959.941082,10.10.1.100:35142,0,62,158,104,21.257
1777224960.008997,10.10.1.100:35142,0,62,161,104,21.252
1777224960.077407,10.10.1.100:35142,0,62,164,104,21.164
1777224960.145613,10.10.1.100:35142,0,62,167,104,21.361
1777224960.214659,10.10.1.100:35142,0,62,170,104,21.239
1777224960.358388,10.10.1.100:35142,0,62,174,104,21.332
1777224960.561411,10.10.1.100:35142,0,62,181,104,21.676
1777224960.764013,10.10.1.100:35142,0,62,190,104,22.461
1777224961.010479,10.10.1.100:35142,0,62,198,104,22.496
1777224961.180734,10.10.1.100:35142,0,62,204,104,22.814
1777224961.257514,10.10.1.100:35142,0,62,206,104,22.744
1777224961.427569,10.10.1.100:35142,0,62,206,104,22.594
1777224961.571648,10.10.1.100:35142,0,62,207,104,22.516
1777224961.641553,10.10.1.100:35142,0,62,207,104,22.637
1777224961.713464,10.10.1.100:35142,0,62,207,104,22.615
1777224961.785239,10.10.1.100:35142,0,62,207,104,22.619
1777224961.873118,10.10.1.100:35142,0,62,207,104,23.178
1777224962.101274,10.10.1.100:35142,0,62,212,104,25.161
1777224962.299642,10.10.1.100:35142,0,62,219,104,24.55
1777224962.508831,10.10.1.100:35142,0,62,219,104,24.182
1777224962.680722,10.10.1.100:35142,0,62,219,104,22.876
1777224962.750506,10.10.1.100:35142,0,62,219,104,22.886
1777224962.819436,10.10.1.100:35142,0,62,219,104,22.57
1777224962.895675,10.10.1.100:35142,0,62,219,104,23.78
1777224962.975494,10.10.1.100:35142,0,62,219,104,22.76
1777224963.158890,10.10.1.100:35142,0,62,219,104,22.589
1777224963.233544,10.10.1.100:35142,0,62,219,104,23.229
1777224963.308207,10.10.1.100:35142,0,62,219,104,22.488
1777224963.518278,10.10.1.100:35142,0,62,219,104,22.634
1777224963.759419,10.10.1.100:35142,0,62,219,104,22.519
1777224963.937099,10.10.1.100:35142,0,62,219,104,22.85
1777224964.108045,10.10.1.100:35142,0,62,220,104,22.745
1777224964.343675,10.10.1.100:35142,0,62,220,104,22.5
1777224964.549750,10.10.1.100:35142,0,62,220,104,22.686
1777224964.626000,10.10.1.100:35142,0,62,220,104,22.71
1777224964.698343,10.10.1.100:35142,0,62,220,104,22.706
1777224964.770372,10.10.1.100:35142,0,62,221,104,22.586
1777224965.019693,10.10.1.100:35142,0,62,221,104,22.91
1777224965.250692,10.10.1.100:35142,0,62,221,104,22.778
1777224965.430741,10.10.1.100:35142,0,62,221,104,23.065
1777224965.504079,10.10.1.100:35142,0,62,222,104,22.57
1777224965.681795,10.10.1.100:35142,0,62,222,104,22.878
1777224965.765273,10.10.1.100:35142,0,62,222,104,22.655
1777224965.968154,10.10.1.100:35142,0,62,222,104,22.826
1777224966.210941,10.10.1.100:35142,0,62,224,104,22.895
1777224966.333231,10.10.1.100:35142,0,62,224,104,22.855
1777224966.404603,10.10.1.100:35142,0,62,224,104,22.88
1777224966.477967,10.10.1.100:35142,0,62,224,104,23.025
1777224966.562011,10.10.1.100:35142,0,62,224,104,22.77
1777224966.810721,10.10.1.100:35142,0,62,224,104,22.565
1777224967.038081,10.10.1.100:35142,0,62,224,104,22.579
1777224967.179960,10.10.1.100:35142,0,121,112,112,22.218
1777224967.294680,10.10.1.100:35142,0,121,118,112,21.109
1777224967.434582,10.10.1.100:35142,0,121,124,112,21.025
1777224967.500273,10.10.1.100:35142,0,121,129,112,21.086
1777224967.566031,10.10.1.100:35142,0,121,132,112,21.102
1777224967.631784,10.10.1.100:35142,0,121,136,112,21.295
1777224967.698096,10.10.1.100:35142,0,121,139,112,21.157
1777224967.857381,10.10.1.100:35142,0,121,142,112,21.022
1777224967.959011,10.10.1.100:35142,0,121,150,112,21.124
1777224968.024756,10.10.1.100:35142,0,121,154,112,21.356
1777224968.098269,10.10.1.100:35142,0,121,157,112,21.311
1777224968.175150,10.10.1.100:35142,0,121,160,112,21.22
1777224968.295342,10.10.1.100:35142,0,121,164,112,21.424
1777224968.437400,10.10.1.100:35142,0,121,170,112,21.198
1777224968.506048,10.10.1.100:35142,0,121,176,112,21.526
1777224968.572641,10.10.1.100:35142,0,121,179,112,21.421
1777224968.639388,10.10.1.100:35142,0,121,182,112,21.905
1777224968.705413,10.10.1.100:35142,0,121,185,112,21.956
1777224968.772149,10.10.1.100:35142,0,121,188,112,22.223
1777224968.939406,10.10.1.100:35142,0,121,191,112,22.328
1777224969.226769,10.10.1.100:35142,0,121,200,112,22.498
1777224969.422796,10.10.1.100:35142,0,121,207,112,22.656
1777224969.498457,10.10.1.100:35142,0,121,208,112,22.828
1777224969.570011,10.10.1.100:35142,0,121,208,112,22.821
1777224969.641693,10.10.1.100:35142,0,121,208,112,22.516
1777224969.713495,10.10.1.100:35142,0,121,208,112,22.618
1777224969.784862,10.10.1.100:35142,0,121,208,112,22.602
1777224969.937439,10.10.1.100:35142,10,131,179,104,27.285
1777224970.069755,10.10.1.100:35142,0,131,111,104,21.011
