1777237583.609781,10.10.1.100:33622,,,10,37,201.744
1777237583.652587,10.10.1.100:33622,,,10,37,201.744
1777237583.695535,10.10.1.100:33622,,,10,37,201.744
1777237583.738262,10.10.1.100:33622,,,10,37,201.744
1777237583.782602,10.10.1.100:33622,,,10,41,201.716
1777237583.825507,10.10.1.100:33622,,,10,41,201.716
1777237583.868806,10.10.1.100:33622,,,10,41,201.716
1777237583.869657,10.10.1.100:44726,,,10,37,201.507
1777237583.912356,10.10.1.100:33622,,,10,41,201.716
1777237583.913158,10.10.1.100:44726,,,10,37,201.507
1777237583.956127,10.10.1.100:33622,,,10,41,201.716
1777237583.956935,10.10.1.100:44726,,,10,37,201.507
1777237583.999539,10.10.1.100:33622,,,10,41,201.716
1777237584.000338,10.10.1.100:44726,,,10,37,201.507
1777237584.043103,10.10.1.100:33622,,,10,161,206.957
1777237584.043904,10.10.1.100:44726,,,10,41,201.493
1777237584.086782,10.10.1.100:33622,,,10,161,206.957
1777237584.087630,10.10.1.100:44726,,,10,41,201.493
1777237584.130593,10.10.1.100:33622,,,10,161,206.957
1777237584.131436,10.10.1.100:44726,,,10,41,201.493
1777237584.173605,10.10.1.100:33622,,,10,161,206.957
1777237584.174441,10.10.1.100:44726,,,10,41,201.493
1777237584.219346,10.10.1.100:44726,,,10,41,201.493
1777237584.264151,10.10.1.100:44726,,,10,41,201.493
1777237584.309050,10.10.1.100:44726,,,10,162,206.863
1777237584.353228,10.10.1.100:44726,,,10,162,206.863
1777237584.411439,10.10.1.100:44726,,,10,162,206.863
1777237584.498120,10.10.1.100:33628,,,10,37,201.299
1777237584.498850,10.10.1.100:44726,,,10,162,206.863
1777237584.718636,10.10.1.100:33628,,,10,37,201.299
1777237584.879886,10.10.1.100:44742,,,10,37,201.698
1777237584.990215,10.10.1.100:33628,,,10,14517,201.327
1777237585.079584,10.10.1.100:33628,,,20,43477,201.179
1777237585.135787,10.10.1.100:33628,,,20,43477,201.179
